iter	Passed	Remaining
0	64	1550
1	119	1370
2	188	1384
3	270	1422
4	349	1396
5	420	1330
6	492	1267
7	580	1234
8	646	1150
9	718	1077
10	782	996
11	848	918
12	917	846
13	978	768
14	1040	693
15	1092	614
16	1162	547
17	1229	478
18	1289	407
19	1377	344
20	1463	278
21	1559	212
22	1644	143
23	1723	71
24	1789	0
