iter	MultiClass
0	0.9242871551
1	0.8939569564
2	0.8735759173
3	0.8560416777
4	0.8418742917
5	0.8252281539
6	0.8061684065
7	0.799633934
8	0.7919502744
9	0.7824822118
10	0.7761989589
11	0.7696215912
12	0.7615335588
13	0.7499174309
14	0.7380135895
15	0.7314436914
16	0.7266920496
17	0.7221518336
18	0.7174530704
19	0.7121072823
20	0.7013451851
21	0.696562241
22	0.6864514768
23	0.6787392155
24	0.6734143319
